City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Yola,NG,85.08,overcast clouds,9.2,12.4833,Muna Hotel
2,Tagusao,PH,82.22,overcast clouds,9.1924,117.8141,Green Villa beach resort
12,Rikitea,PF,77.85,light rain,-23.1203,-134.9692,People ThankYou
13,Hilo,US,87.28,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
16,Noumea,NC,84.18,scattered clouds,-22.2763,166.4572,Hôtel Le Lagon
27,Vaini,TO,84.36,few clouds,-21.2,-175.2,Keleti Beach Resort
28,Mount Isa,AU,89.37,few clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
33,Vila Velha,BR,82.35,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
39,Mumford,GH,80.49,overcast clouds,5.2618,-0.759,Spanish Villa
41,Bengkulu,ID,79.43,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
42,Puerto Ayora,EC,76.89,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
43,Mayo,US,80.76,clear sky,38.8876,-76.5119,Resorts Resource Group International
45,Sibolga,ID,80.53,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
49,Caravelas,BR,76.12,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
51,Sao Joao Da Barra,BR,77.68,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
52,Mahebourg,MU,79.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
55,Gawler,AU,77.09,overcast clouds,-34.6,138.7333,Eagle Foundry Bed & Breakfast
57,Harper,LR,78.04,overcast clouds,4.375,-7.7169,Screensaver
60,Dicabisagan,PH,83.03,scattered clouds,17.0818,122.4157,Nancy Montanes Bernardo
61,Faanui,PF,81.41,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
65,Coruripe,BR,77.56,clear sky,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
67,Kapaa,US,84.18,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
68,Acarau,BR,78.01,broken clouds,-2.8856,-40.12,castelo pizzaria
69,Manaure,CO,79.77,clear sky,11.7751,-72.4445,Hotel Palaaima
73,Sur,OM,85.05,clear sky,22.5667,59.5289,Sur Plaza Hotel
75,Loandjili,CG,77.18,scattered clouds,-4.7561,11.8578,Résidence ARCHANGE
77,Cam Ranh,VN,78.76,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
84,Palembang,ID,77.09,mist,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
91,Marawi,PH,76.59,overcast clouds,7.9986,124.2928,Derogongan Residence
95,Gopalpur,IN,81.63,clear sky,19.2667,84.9167,Gopalpur Palm Resort
96,Fortuna Foothills,US,77.22,clear sky,32.6578,-114.4119,Fortuna De Oro RV Park
108,Matara,LK,77.95,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
112,Sao Paulo Do Potengi,BR,80.71,scattered clouds,-5.895,-35.7628,Pousada Santa Clara
114,Arlit,NE,84.85,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
120,Bambous Virieux,MU,79.21,light rain,-20.3428,57.7575,Casa Tia Villa
129,Sola,VU,84.87,broken clouds,-13.8833,167.55,Leumerus Bungalows
131,Arraial Do Cabo,BR,76.96,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
