City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Olinda,BR,2022-04-13 23:43:48,-8.0089,-34.8553,82.13,69,0,4.61
1,Jamestown,US,2022-04-13 23:43:49,42.097,-79.2353,69.39,61,0,4.61
2,Khorixas,NA,2022-04-13 23:43:49,-20.3667,14.9667,71.22,39,55,2.1
3,Mahebourg,MU,2022-04-13 23:39:07,-20.4081,57.7,78.26,88,75,11.5
4,Kloulklubed,PW,2022-04-13 23:43:49,7.0419,134.2556,79.3,80,90,16.17
5,Mataura,NZ,2022-04-13 23:43:50,-46.1927,168.8643,59.49,53,53,3.85
6,Bernburg,DE,2022-04-13 23:43:50,51.8,11.7333,52.47,82,92,7.92
7,Punta Arenas,CL,2022-04-13 23:43:36,-53.15,-70.9167,53.71,76,20,33.38
8,Taltal,CL,2022-04-13 23:43:51,-25.4,-70.4833,61.18,79,20,2.26
9,Cape Town,ZA,2022-04-13 23:40:27,-33.9258,18.4232,64.89,85,0,16.11
10,Victoria Point,AU,2022-04-13 23:43:51,-27.5833,153.3,75.18,72,44,5.99
11,New Norfolk,AU,2022-04-13 23:43:52,-42.7826,147.0587,56.91,61,100,3.42
12,Tateyama,JP,2022-04-13 23:43:52,34.9833,139.8667,59.09,86,94,17.07
13,Bethel,US,2022-04-13 23:40:24,41.3712,-73.414,69.89,61,0,3.44
14,Caen,FR,2022-04-13 23:43:37,49.0833,-0.4167,50.22,93,9,2.3
15,Hasaki,JP,2022-04-13 23:43:53,35.7333,140.8333,54.28,87,100,25.68
16,Port Alfred,ZA,2022-04-13 23:43:53,-33.5906,26.891,61.18,94,68,4.0
17,Komsomolskiy,UZ,2022-04-13 23:43:53,40.4272,71.7189,63.32,59,2,6.91
18,Yellowknife,CA,2022-04-13 23:41:46,62.456,-114.3525,15.3,60,20,8.05
19,Maputo,MZ,2022-04-13 23:43:54,-25.9653,32.5892,76.68,78,20,4.61
20,Hithadhoo,MV,2022-04-13 23:43:54,-0.6,73.0833,83.39,74,95,8.86
21,Teguise,ES,2022-04-13 23:43:55,29.0605,-13.564,61.02,72,40,13.8
22,Busselton,AU,2022-04-13 23:43:55,-33.65,115.3333,56.53,78,0,8.55
23,Kajaani,FI,2022-04-13 23:43:56,64.2273,27.7285,33.85,64,0,3.44
24,Bluff,NZ,2022-04-13 23:43:56,-46.6,168.3333,59.81,73,72,18.16
25,Mitsamiouli,KM,2022-04-13 23:43:56,-11.3847,43.2844,81.84,76,97,8.25
26,Natal,BR,2022-04-13 23:43:57,-5.795,-35.2094,81.25,83,20,9.22
27,Bilma,NE,2022-04-13 23:43:57,18.6853,12.9164,84.72,8,22,6.78
28,Cherskiy,RU,2022-04-13 23:43:57,68.75,161.3,10.26,85,99,7.92
29,Husavik,IS,2022-04-13 23:43:58,66.0449,-17.3389,34.32,83,84,13.98
30,Vaini,TO,2022-04-13 23:43:58,-21.2,-175.2,84.36,89,20,9.22
31,Hermanus,ZA,2022-04-13 23:43:58,-34.4187,19.2345,63.81,88,100,7.87
32,Ushuaia,AR,2022-04-13 23:43:59,-54.8,-68.3,51.46,76,75,31.07
33,Lodja,CD,2022-04-13 23:43:59,-3.4833,23.4333,69.62,99,88,1.28
34,Lorengau,PG,2022-04-13 23:44:00,-2.0226,147.2712,85.08,69,27,10.58
35,Lavrentiya,RU,2022-04-13 23:44:00,65.5833,-171.0,26.47,85,86,12.08
36,Albany,US,2022-04-13 23:44:00,42.6001,-73.9662,70.21,71,76,4.14
37,Ajaccio,FR,2022-04-13 23:44:01,42.0,8.9167,44.65,81,0,6.91
38,Bambous Virieux,MU,2022-04-13 23:44:01,-20.3428,57.7575,78.22,88,75,11.5
39,Faanui,PF,2022-04-13 23:44:01,-16.4833,-151.75,81.57,74,8,14.09
40,East London,ZA,2022-04-13 23:44:02,-33.0153,27.9116,68.11,85,33,8.14
41,Port Elizabeth,ZA,2022-04-13 23:44:02,-33.918,25.5701,63.32,91,20,14.97
42,Nanortalik,GL,2022-04-13 23:44:02,60.1432,-45.2371,35.76,82,100,0.83
43,Hilo,US,2022-04-13 23:44:03,19.7297,-155.09,84.27,86,75,4.0
44,Castro,BR,2022-04-13 23:44:03,-24.7911,-50.0119,62.24,96,91,0.92
45,Kulhudhuffushi,MV,2022-04-13 23:44:04,6.6221,73.07,83.03,70,100,2.01
46,Kastamonu,TR,2022-04-13 23:44:04,41.5,33.6667,31.73,78,97,5.91
47,Novoselitskoye,RU,2022-04-13 23:45:04,44.7508,43.4369,42.46,74,84,6.33
48,Zhezkazgan,KZ,2022-04-13 23:45:05,47.8043,67.7144,48.18,66,0,11.18
49,Hambantota,LK,2022-04-13 23:45:05,6.1241,81.1185,79.2,84,94,10.4
50,Gigmoto,PH,2022-04-13 23:45:05,13.7796,124.39,81.19,76,94,5.46
51,Northam,GB,2022-04-13 23:45:06,51.0333,-4.2167,48.38,93,56,3.71
52,Bengkulu,ID,2022-04-13 23:45:06,-3.8004,102.2655,76.55,85,62,3.42
53,Avarua,CK,2022-04-13 23:44:54,-21.2078,-159.775,84.25,74,20,4.61
54,Deputatskiy,RU,2022-04-13 23:45:07,69.3,139.9,1.35,96,100,3.8
55,Assiniboia,CA,2022-04-13 23:45:08,49.6334,-105.9845,17.42,86,100,26.46
56,Camana,PE,2022-04-13 23:45:08,-16.6228,-72.7111,67.48,81,8,7.4
57,Atuona,PF,2022-04-13 23:45:09,-9.8,-139.0333,78.87,79,48,17.13
58,Shache,CN,2022-04-13 23:45:09,38.4167,77.2406,63.19,34,99,2.86
59,Ancud,CL,2022-04-13 23:45:10,-41.8697,-73.8203,54.23,90,56,3.29
60,Hobart,AU,2022-04-13 23:44:58,-42.8794,147.3294,57.25,82,0,8.05
61,Thompson,CA,2022-04-13 23:45:11,55.7435,-97.8558,24.96,58,75,23.02
62,Georgetown,MY,2022-04-13 23:45:11,5.4112,100.3354,78.75,94,20,2.3
63,Yaan,NG,2022-04-13 23:45:12,7.3833,8.5667,77.05,78,100,6.02
64,Bredasdorp,ZA,2022-04-13 23:45:12,-34.5322,20.0403,63.09,85,99,5.48
65,Saldanha,ZA,2022-04-13 23:45:13,-33.0117,17.9442,62.65,89,100,20.85
66,Barrow,US,2022-04-13 23:45:13,71.2906,-156.7887,-0.38,71,0,8.05
67,Ribeira Grande,PT,2022-04-13 23:45:14,38.5167,-28.7,59.67,62,2,16.98
68,Kodiak,US,2022-04-13 23:45:15,57.79,-152.4072,45.91,46,0,17.27
69,Itarema,BR,2022-04-13 23:45:15,-2.9248,-39.9167,77.61,86,41,7.29
70,Te Anau,NZ,2022-04-13 23:45:16,-45.4167,167.7167,57.25,54,49,0.83
71,Longkou,CN,2022-04-13 23:45:16,37.6508,120.3286,49.01,61,36,6.11
72,Kavaratti,IN,2022-04-13 23:45:17,10.5669,72.642,80.56,82,100,21.85
73,Kondinskoye,RU,2022-04-13 23:45:17,59.6481,67.41,35.91,88,95,9.95
74,Fallon,US,2022-04-13 23:41:13,39.4735,-118.7774,55.27,16,75,14.97
75,Omboue,GA,2022-04-13 23:45:18,-1.5746,9.2618,77.45,92,97,2.37
76,Tarpon Springs,US,2022-04-13 23:45:18,28.1461,-82.7568,81.25,71,0,4.61
77,Arraial Do Cabo,BR,2022-04-13 23:41:14,-22.9661,-42.0278,76.96,94,40,4.61
78,Rikitea,PF,2022-04-13 23:45:18,-23.1203,-134.9692,78.22,70,11,16.02
79,Launceston,AU,2022-04-13 23:45:19,-41.45,147.1667,58.64,77,100,16.11
80,Plettenberg Bay,ZA,2022-04-13 23:45:19,-34.0527,23.3716,63.75,88,78,8.25
81,Nyimba,ZM,2022-04-13 23:45:19,-14.5566,30.8149,66.7,95,49,3.18
82,Bathsheba,BB,2022-04-13 23:45:20,13.2167,-59.5167,79.41,69,20,17.27
83,Bonavista,CA,2022-04-13 23:45:20,48.6499,-53.1147,31.64,86,100,28.59
84,Panuco,MX,2022-04-13 23:45:21,22.05,-98.1667,87.84,54,48,16.91
85,Provideniya,RU,2022-04-13 23:45:21,64.3833,-173.3,28.51,93,100,15.99
86,Taitung,TW,2022-04-13 23:45:21,22.7583,121.1444,75.47,78,40,3.44
87,Pacific Grove,US,2022-04-13 23:45:22,36.6177,-121.9166,62.55,63,0,13.8
88,Aboisso,CI,2022-04-13 23:45:22,5.4678,-3.2071,76.91,90,99,1.99
89,Mandalgovi,MN,2022-04-13 23:45:23,45.7625,106.2708,29.05,41,100,14.85
90,Tupancireta,BR,2022-04-13 23:45:23,-29.0806,-53.8358,59.86,94,87,7.45
91,Klaksvik,FO,2022-04-13 23:45:23,62.2266,-6.589,43.72,88,73,18.7
92,Gorontalo,ID,2022-04-13 23:45:24,0.5412,123.0595,80.67,81,100,1.36
93,Tungor,RU,2022-04-13 23:45:24,53.3808,142.9564,26.53,71,44,9.48
94,Aksu,CN,2022-04-13 23:46:25,41.1231,80.2644,59.23,25,85,7.45
95,Ventersburg,ZA,2022-04-13 23:46:25,-28.0856,27.1381,55.62,63,0,2.89
96,Roebourne,AU,2022-04-13 23:46:25,-20.7833,117.1333,84.97,29,5,4.81
97,Silver City,US,2022-04-13 23:46:26,32.7701,-108.2803,58.62,4,1,18.01
98,Acarau,BR,2022-04-13 23:46:26,-2.8856,-40.12,78.01,85,35,7.74
99,Alekseyevsk,RU,2022-04-13 23:46:26,57.8406,108.3492,31.06,91,100,16.91
100,Tommot,RU,2022-04-13 23:46:27,58.9564,126.2925,30.34,83,100,9.15
101,Lagos,NG,2022-04-13 23:45:37,6.5833,3.75,80.92,86,73,4.12
102,Bushehr,IR,2022-04-13 23:46:27,28.9684,50.8385,77.09,65,75,6.91
103,Ilulissat,GL,2022-04-13 23:43:33,69.2167,-51.1,21.22,86,75,2.3
104,Talnakh,RU,2022-04-13 23:46:27,69.4865,88.3972,29.21,96,100,5.37
105,Salinopolis,BR,2022-04-13 23:46:28,-0.6136,-47.3561,78.3,89,99,8.5
106,San Cristobal,VE,2022-04-13 23:46:28,7.7669,-72.225,77.18,66,98,2.51
107,Jagupit,PH,2022-04-13 23:46:28,9.2422,125.5581,82.13,71,94,3.67
108,Altagracia De Orituco,VE,2022-04-13 23:46:29,9.8601,-66.3814,75.22,77,79,8.79
109,Gizo,SB,2022-04-13 23:46:29,-8.103,156.8419,84.54,66,31,4.74
110,Baghdad,IQ,2022-04-13 23:43:28,33.3406,44.4009,58.91,36,0,8.05
111,Muroto,JP,2022-04-13 23:46:30,33.2833,134.15,64.99,91,70,12.15
112,Terra Santa,BR,2022-04-13 23:46:30,-2.1042,-56.4869,76.96,90,100,2.55
113,Carnarvon,AU,2022-04-13 23:46:31,-24.8667,113.6333,64.47,72,0,12.66
114,Porto Novo,BJ,2022-04-13 23:46:31,6.4965,2.6036,82.22,80,99,6.93
115,Makat,KZ,2022-04-13 23:42:57,47.6469,53.3463,53.42,62,2,12.19
116,Pangoa,PE,2022-04-13 23:46:31,-12.1167,-73.0,71.76,95,92,1.43
117,Manicore,BR,2022-04-13 23:46:32,-5.8092,-61.3003,77.02,90,100,1.66
118,Kaitong,CN,2022-04-13 23:46:32,44.8135,123.15,49.12,27,100,11.61
119,Andijon,UZ,2022-04-13 23:46:33,40.7821,72.3442,61.88,56,5,5.75
120,Lebu,CL,2022-04-13 23:45:59,-37.6167,-73.65,52.61,87,0,17.36
121,Geraldton,AU,2022-04-13 23:46:33,-28.7667,114.6,63.01,82,0,10.36
122,Comodoro Rivadavia,AR,2022-04-13 23:46:33,-45.8667,-67.5,64.26,42,0,10.36
123,Salvador,SV,2022-04-13 23:46:34,13.8333,-88.9167,81.0,59,81,6.38
124,Sao Filipe,CV,2022-04-13 23:46:16,14.8961,-24.4956,71.44,76,9,6.87
125,Upernavik,GL,2022-04-13 23:46:34,72.7868,-56.1549,-7.51,99,95,7.63
126,Qui Nhon,VN,2022-04-13 23:46:35,13.7667,109.2333,78.46,87,100,0.47
127,Kamenka,RU,2022-04-13 23:46:35,51.3223,42.7678,49.1,92,100,13.85
